"Row" "BootToDesktop" "DesktopToIdle" "BootToIdle"
"804" 9.98 3.467 45.07
"805" 8.823 3.48 50.96
"806" 8.703 3.55 42.563
"807" 8.47 3.733 50.62
"NA.77" NA NA NA
"809" 32.363 10.937 43.22
"810" 8.96 3.363 51.063
"NA.78" NA NA NA
"812" 8.844 3.516 52.787
"813" 8.74 3.413 41.66
"814" 8.626 3.397 41.793
"815" 8.9 176.5 40.39
"816" 8.797 3.31 39.13
"817" 8.904 3.473 39.587
"818" 8.777 3.55 56.557
"819" 8.533 3.53 44.8
"820" 8.897 3.347 46.137
"821" 8.676 3.377 43.323
"822" 81.147 6.623 102.68
"823" 8.97 3.394 46.047
"824" 9.63 3.453 43.803
"825" 7.857 7.526 15.12
"826" 14.29 20.53 34.087
"827" 9.134 3.356 68.997
"828" 8.57 3.373 42.853
"829" 8.666 3.387 41.793
"830" 8.064 3.156 54.697
"831" 8.893 3.277 50.64
"832" 8.913 3.36 42.973
"833" 88.176 7.517 106.243
"834" 9.694 3.7 44.267
"835" 8.214 3.953 40.117
"836" 8.84 4.383 48.243
"837" 8.943 3.25 45.43
"838" 9.347 177.5 41.93
"839" 8.647 3.483 42.827
"NA.79" NA NA NA
"841" 8.536 3.374 46.513
"842" 9.544 4.263 55.357
"843" 9.6 3.684 48.437
"844" 8.723 3.304 38.12
"845" 9.123 4.114 42.31
"846" 8.773 3.257 48.91
"NA.80" NA NA NA
"848" 8.633 3.313 50.403
"849" 8.763 3.5 41.57
"850" 8.914 3.846 42.647
"851" 8.83 3.32 47.693
"NA.81" NA NA NA
"853" 8.6 3.71 48.673
"854" 9.33 3.893 38.743
"NA.82" NA NA NA
"856" 9.807 3.43 44.687
"857" 9.063 3.2 53.34
"NA.83" NA NA NA
"859" 7.65 4.506 42.583
"860" 8.623 3.667 52.713
"NA.84" NA NA NA
"862" 8.847 3.573 44.4
"863" 8.653 3.42 48.78
"864" 8.56 5.963 47.53
"865" 9.476 3.77 49.403
"866" 9.003 3.387 47.56
"867" 8.43 3.65 51.25
"868" 8.826 3.457 46.613
"869" 8.803 3.454 46.16
"870" 9.154 3.82 43.297
"871" 8.797 3.22 45.807
"NA.85" NA NA NA
"873" 10.087 4.013 43.86
"874" 8.934 3.486 49.177
"875" 36.953 11.753 64.263
"876" 8.75 3.46 52.177
"877" 11.617 3.983 55.32
"878" 8.394 3.56 52.107
"879" 8.36 4.083 43.313
"NA.86" NA NA NA
"881" 9.033 3.877 45.86
"882" 8.167 4.263 46.06
"883" 10.33 3.17 42.323
"884" 8.497 3.597 46.757
"885" 8.25 3.24 52.15
"886" 9.083 3.13 58.13
"887" 12.344 3.996 54.357
"888" 8.247 177.227 42.027
"889" 8.617 3.707 44.747
"890" 8.384 3.78 44.057
"891" 9.59 3.546 47.183
