"","CapturedExperienceId","c1_BootToReadyForCredentials","c2_CredentialsEnteredToDesktop","c3_DesktopToIdle","totaltime","rounded_totaltime"
"136",282007,148.9127799,105.8316205,1.9,256.6444004,257
"137",282008,79.20977,53.5293056,1.9,134.6390756,135
"138",282009,71.9640583,18.2162908,1.9,92.0803491,92
"139",282010,49.7277138,23.9038667,1.9,75.5315805,76
"143",282031,104.6350367,17.8480526,1.9,124.3830893,124
"147",282039,85.2929776,59.7830643,1.9,146.9760419,147
"148",282040,180.6286698,44.7840012,1.9,227.312671,227
"150",282047,178.615291,13.3160226,1.9,193.8313136,194
"151",282048,78.9380307,16.5574355,1.9,97.3954662,97
"152",282049,122.1068028,19.6561914,1.9,143.6629942,144
"154",282053,48.0643274,14.6045979,1.9,64.5689253,65
"155",282055,42.6305977,40.2108945,1.9,84.7414922,85
"166",282076,76.0626014,77.4189314,1.9,155.3815328,155
"167",282079,37.3601508,9.3539125,1.9,48.6140633,49
"168",282080,86.7307349,49.0779955,1.9,137.7087304,138
"169",282082,43.4652081,11.1820167,6.9,61.5472248,62
"175",282100,60.3131689,24.7315852,1.9,86.9447541,87
"176",282103,192.3389619,15.3464123,1.9,209.5853742,210
"182",282114,100.6764341,12.5269687,1.9,115.1034028,115
"186",282133,19.5941856,18.0513073,90,127.6454929,128
"188",282138,66.4048111,20.6285336,86.5,173.5333447,174
"189",282139,81.4485263,66.7105632,1.9,150.0590895,150
"191",282142,73.3543993,18.0663713,1.9,93.3207706,93
"192",282143,48.1512034,14.7974876,1.9,64.848691,65
"195",282150,82.1633796,61.6675584,1.9,145.730938,146
"196",282152,110.4428897,19.997412,1.9,132.3403017,132
"197",282153,69.0361209,13.3736313,1.9,84.3097522,84
"201",282173,68.588132,38.7685393,15.5,122.8566713,123
"202",282178,59.0759728,10.3555434,1.9,71.3315162,71
"203",282179,34.3281516,10.5782184,1.9,46.80637,47
"206",282189,21.9367377,73.5655795,1.9,97.4023172,97
"207",282190,31.1314492,35.0769248,1.9,68.108374,68
"208",282195,94.6427236,24.7139451,1.9,121.2566687,121
"209",282198,77.430228,51.3560872,19.6,148.3863152,148
"210",282201,20.4347977,19.4995353,1.9,41.834333,42
"211",282205,24.3108923,47.6506565,1.9,73.8615488,74
"212",282209,41.8408458,13.3433783,1.9,57.0842241,57
"213",282210,35.1180033,12.3754737,7.9,55.393477,55
"215",282216,65.8026517,19.0140204,1.9,86.7166721,87
"216",282218,32.4862891,55.9718993,1.9,90.3581884,90
"218",282221,67.2432499,89.5672699,90,246.8105198,247
"219",282227,72.3412309,41.4237014,1.9,115.6649323,116
"220",282228,33.8387732,8.1571582,7.3,49.2959314,49
"221",282230,66.3683327,18.7645135,1.9,87.0328462,87
"222",282243,68.6506994,92.864766,67.3,228.8154654,229
"223",282250,165.9126145,73.3241229,1.9,241.1367374,241
"224",282252,33.5393285,31.0035922,1.9,66.4429207,66
"225",282256,46.2438878,17.7576908,53.1,117.1015786,117
"226",282269,16.8776296,45.6021061,1.9,64.3797357,64
"228",282331,136.1904645,40.6427148,1.9,178.7331793,179
"229",282336,7.9959675,33.169002,1.9,43.0649695,43
"230",282341,59.5352876,8.6616736,1.9,70.0969612,70
"236",282358,70.9709378,15.7008247,1.9,88.5717625,89
